																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	chest press	10x50 x5		cable curl	10x17.5 x5		cable push down	12x25 x4		sit up	40x8					preacher curl	12x30 + 9x30 x2 + 12x30		10/10/2021	pull		skull crusher	12x30 x4																														
	cable push down	10x15 + 10x20 x5		low row	10x60 x5		chest press	12x60 x3		close grip pull down	6x65 + 6x70 x3					cable curl	12x17.5 x4		low row	12x80 x4		cable push down	12x25 x4																														
	skull crusher	10x10 + 10x12.5 + 10x17.5 x3		preacher curl	10x20 x6					preacher curl	6x35 x3					calf raise	12 x8		bicep curl	12x10 x4																																	
	shrug	16x18 x4		russian twist	30x8		09/06/2021	pull											preacher curl	12x30 x4		10/11/2021	pull		08/12/2021	push		08/01/2022	other		08/02/2022	other		08/03/2022	core + forearm		08/04/2022	shoulder push		08/05/2022	barbell pull		08/06/2022	cardio		08/07/2022	holiday push		08/08/2022	barbell pull		08/09/2022	pull
	bench press	1x60		sit up	30x8		low row	6x92.5 x3		11/07/2021	push					30/09/2021	push					low row	12x85 x4		bench press	5x70 + 5x75 x2 + 4x75		leg press	12x100 x4		leg press	20x100 + 14x140 x2 + 12x180 x2		sit up	25x26 x3		bench press	7x70 + 4x75 + 5x75		barbell row	12x65 + 8x75 x2								barbell row	16x60 + 14x70 x2 + 12x75			
				shrug	16x22 x3		close grip pull down	6x70 + 6x75 x3		chest press	6x90 x4					bench press	5x40 + 5x60 x4		11/10/2021	leg		preacher curl	12x30 x4		rope push down	12x20 x4		abdominal crunch	12x40 + 12x35 x3		forearm	20x10 x3		russian twist	20x10 x3		shoulder press	12x60 + 10x70 x2		preacher curl	14x40 x3								preacher curl	9x35 + 12x35 x2 + 10x35			
	29/04/2021	mix					cable curl	6x30 x4		bench press	5x65 + 5x60 x3					skull crusher	12x30 x4		adductor	16x60 x3		chin up	12 x4		skull crusher	12x30 x4		calf raise	12x150 + 16x130 x3		hanging leg raise	20 x3		forearm	20x14 x3		chest fly	16x10 x3		low row	16x90 + 14x100 + 16x100								reverse fly	16x15 + 12x15 + 9x15			
	low row	10x60 x5		08/05/2021	shoulder push		preacher curl	6x30 x3		russian twist	40x12								leg press	12x140 + 12x150 x3		cable curl	12x25 x4					forearm	20x8 x3		leg curl	12x40 x3		hanging leg raise	20 x2 + 16		lateral raise	12x12 + 14x12 + 16x12											chin up	10x10 x2 + 6x10			
	cable curl	10x17.5 x5		russian twist	40x8		leg extension	12x90		sit up	35x12								calf raise	16x100 x2 + 16x120								leg curl	12x30 x4																				lateral pull down	8x50 + 10x45			
	lateral raise	10x6 x5		sit up	30x8					rope push down	12x25 x4								leg extension	12x80 x3		11/11/2021	push																														
	leg extension	16x30 x5		shoulder press	10x35 x3		10/06/2021	push														bench press	5x70 + 5x75 + 3x80 + 2x75 + 5x75																														
	chest press	10x30 x4		chest press	10x40 x6		bench press	5x57.5 x5		12/07/2021	mix								12/10/2021	push		skull crusher	12x30 x4																														
